//**************************************************************************************************************
//File Type: Amalfi PA Test Measurment Data Log File
//Log File Format Version: 1
//Test Type:Auto Script
//Serial Number: xAM7801-100081-SN001
//Part Number (Chip ID): AM8802 A5
//Chip Model: Chiarlo TxM 7801
//DUT Test GUI Version Number: Rev. A1.00.284
//FPGA Version Number: 21
//PICC Version Number: 13
//Station Number: 1
//Test Date & Time: 12-23-2009 15:59:34
//Temperature Soak Time (in secs): Test @ Ambient
//Script File Name: l:\Lab & Testing\Richv\AM7801\7801_A5_Reg1_X3_Nominal_Screen_Quick.script
//Latest ATR Correlation Summary: FAILED
//Validated On: 02-14-2008  17:54:16
//Comment:																																																	
//**************************************************************************************************************																																																	
//T#	TestName	Reg Map	Actual PA Operation Mode	Ext Ctrl Bits	Sw Matrix	Attenuation Switch	S21(dB)	Source Tuner Loss(dB)	Tuner Loss(dB)	S21In(dB)	Test Freq(MHz)	Vbat(Volt)	Pwr In(dBm)	Source Magnitude	Source Phase(degree)	Source VSWR	Source Ref Coef	Magnitude	Phase(degree)	VSWR	Ref Coef	Efficiency(%)	PAE(%)	Adj Pwr Out(dBm)	Pwr Out(dBm)	Vbat_I(Amp)	Vbat_V(Volt)	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	Register Check	Reg 0	Alert Reg	Temperature(degree C)	Vramp File	Date	Time	Comment
//T#	TestName	Reg Map	Actual PA Operation Mode	Ext Ctrl Bits	Sw Matrix	Attenuation Switch	S21(dB)	Source Tuner Loss(dB)	Tuner Loss(dB)	S21In(dB)	Test Freq(MHz)	Vbat(Volt)	Pwr In(dBm)	Source Magnitude	Source Phase(degree)	Source VSWR	Source Ref Coef	Magnitude	Phase(degree)	VSWR	Ref Coef	3rd Harmonics Amplitude(dBm)	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	Register Check	Reg 0	Alert Reg	Temperature(degree C)	Vramp File	Date	Time	Comment
3	Harmonics (3rd VSA)	L:\Lab & Testing\ATR_Chiarlo\register_maps\A5\Chiarlo_A5_v001_default.map	GSM	SSSZ1001	L3F	LBIn	-28.98	0	0	-4.62	824	3.5	3	0	0	1	0	0	0	1	0	-38.868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Disabled	1a0	13	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloX3_4Aug09\LB_pwrsel00\chiarloX3.1.380v_ramp.txt	12/23/2009	16:00:28	No comments(this is a filler only).
3	Harmonics (3rd VSA)	L:\Lab & Testing\ATR_Chiarlo\register_maps\A5\Chiarlo_A5_v001_default.map	GSM	SSSZ1001	L3F	LBIn	-29.1	0	0	-4.64	850	3.5	3	0	0	1	0	0	0	1	0	-42.636002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Disabled	1a0	2013	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloX3_4Aug09\LB_pwrsel00\chiarloX3.1.380v_ramp.txt	12/23/2009	16:00:32	No comments(this is a filler only).
3	Harmonics (3rd VSA)	L:\Lab & Testing\ATR_Chiarlo\register_maps\A5\Chiarlo_A5_v001_default.map	GSM	SSSZ1001	L3F	LBIn	-29.08	0	0	-4.67	876	3.5	3	0	0	1	0	0	0	1	0	-49.699001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Disabled	1a0	2013	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloX3_4Aug09\LB_pwrsel00\chiarloX3.1.380v_ramp.txt	12/23/2009	16:00:36	No comments(this is a filler only).
3	Harmonics (3rd VSA)	L:\Lab & Testing\ATR_Chiarlo\register_maps\A5\Chiarlo_A5_v001_default.map	GSM	SSSZ1001	L3F	LBIn	-29.16	0	0	-4.68	902	3.5	3	0	0	1	0	0	0	1	0	-50.194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Disabled	1a0	2013	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloX3_4Aug09\LB_pwrsel00\chiarloX3.1.380v_ramp.txt	12/23/2009	16:00:40	No comments(this is a filler only).
3	Harmonics (3rd VSA)	L:\Lab & Testing\ATR_Chiarlo\register_maps\A5\Chiarlo_A5_v001_default.map	GSM	SSSZ1001	L3F	LBIn	-29.08	0	0	-4.67	915	3.5	3	0	0	1	0	0	0	1	0	-51.087002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Disabled	1a0	2013	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloX3_4Aug09\LB_pwrsel00\chiarloX3.1.380v_ramp.txt	12/23/2009	16:00:44	No comments(this is a filler only).
//T#	TestName	Reg Map	Actual PA Operation Mode	Ext Ctrl Bits	Sw Matrix	Attenuation Switch	S21(dB)	Source Tuner Loss(dB)	Tuner Loss(dB)	S21In(dB)	Test Freq(MHz)	Vbat(Volt)	Pwr In(dBm)	Source Magnitude	Source Phase(degree)	Source VSWR	Source Ref Coef	Magnitude	Phase(degree)	VSWR	Ref Coef	Efficiency(%)	PAE(%)	Adj Pwr Out(dBm)	Pwr Out(dBm)	Vbat_I(Amp)	Vbat_V(Volt)	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	Register Check	Reg 0	Alert Reg	Temperature(degree C)	Vramp File	Date	Time	Comment
4	Output Power & Efficiency	L:\Lab & Testing\ATR_Chiarlo\register_maps\A5\Chiarlo_A5_v001_default.map	GSM	SSSZ1001	L1B	LBIn	-28.91	0	0	-4.62	824	3.5	3	0	0	1	0	0	0	1	0	41.290645	41.272938	32.056891	2.966891	1.11275	3.494941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Disabled	1a0	13	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloX3_4Aug09\LB_pwrsel00\chiarloX3.1.290v_ramp.txt	12/23/2009	16:00:56	No comments(this is a filler only).
4	Output Power & Efficiency	L:\Lab & Testing\ATR_Chiarlo\register_maps\A5\Chiarlo_A5_v001_default.map	GSM	SSSZ1001	L1B	LBIn	-28.94	0	0	-4.64	850	3.5	3	0	0	1	0	0	0	1	0	43.147003	43.129293	32.227386	3.107386	1.10753	3.494882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Disabled	1a0	13	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloX3_4Aug09\LB_pwrsel00\chiarloX3.1.290v_ramp.txt	12/23/2009	16:00:58	No comments(this is a filler only).
4	Output Power & Efficiency	L:\Lab & Testing\ATR_Chiarlo\register_maps\A5\Chiarlo_A5_v001_default.map	GSM	SSSZ1001	L1B	LBIn	-28.96	0	0	-4.67	876	3.5	3	0	0	1	0	0	0	1	0	44.372884	44.355036	32.285393	3.145393	1.0914	3.494924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Disabled	1a0	13	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloX3_4Aug09\LB_pwrsel00\chiarloX3.1.290v_ramp.txt	12/23/2009	16:01:01	No comments(this is a filler only).
4	Output Power & Efficiency	L:\Lab & Testing\ATR_Chiarlo\register_maps\A5\Chiarlo_A5_v001_default.map	GSM	SSSZ1001	L1B	LBIn	-28.99	0	0	-4.68	902	3.5	3	0	0	1	0	0	0	1	0	44.811328	44.793164	32.241953	3.071953	1.06993	3.49504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Disabled	1a0	13	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloX3_4Aug09\LB_pwrsel00\chiarloX3.1.290v_ramp.txt	12/23/2009	16:01:04	No comments(this is a filler only).
4	Output Power & Efficiency	L:\Lab & Testing\ATR_Chiarlo\register_maps\A5\Chiarlo_A5_v001_default.map	GSM	SSSZ1001	L1B	LBIn	-28.99	0	0	-4.67	915	3.5	3	0	0	1	0	0	0	1	0	44.633484	44.615106	32.183634	3.013634	1.05982	3.495187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Disabled	1a0	13	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloX3_4Aug09\LB_pwrsel00\chiarloX3.1.290v_ramp.txt	12/23/2009	16:01:06	No comments(this is a filler only).
//T#	TestName	Reg Map	Actual PA Operation Mode	Ext Ctrl Bits	Sw Matrix	Attenuation Switch	S21(dB)	Source Tuner Loss(dB)	Tuner Loss(dB)	S21In(dB)	Test Freq(MHz)	Vbat(Volt)	Pwr In(dBm)	Source Magnitude	Source Phase(degree)	Source VSWR	Source Ref Coef	Magnitude	Phase(degree)	VSWR	Ref Coef	2nd Harmonics Amplitude(dBm)	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	Register Check	Reg 0	Alert Reg	Temperature(degree C)	Vramp File	Date	Time	Comment
5	Harmonics (2nd VSA)	L:\Lab & Testing\ATR_Chiarlo\register_maps\A5\Chiarlo_A5_v001_default.map	GSM	SSSZ1001	L3F	LBIn	-28.54	0	0	-4.62	824	3.5	3	0	0	1	0	0	0	1	0	-38.417999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Disabled	1a0	13	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloX3_4Aug09\LB_pwrsel00\chiarloX3.1.290v_ramp.txt	12/23/2009	16:01:13	No comments(this is a filler only).
5	Harmonics (2nd VSA)	L:\Lab & Testing\ATR_Chiarlo\register_maps\A5\Chiarlo_A5_v001_default.map	GSM	SSSZ1001	L3F	LBIn	-28.6	0	0	-4.64	850	3.5	3	0	0	1	0	0	0	1	0	-36.553001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Disabled	1a0	13	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloX3_4Aug09\LB_pwrsel00\chiarloX3.1.290v_ramp.txt	12/23/2009	16:01:17	No comments(this is a filler only).
5	Harmonics (2nd VSA)	L:\Lab & Testing\ATR_Chiarlo\register_maps\A5\Chiarlo_A5_v001_default.map	GSM	SSSZ1001	L3F	LBIn	-28.61	0	0	-4.67	876	3.5	3	0	0	1	0	0	0	1	0	-36.067001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Disabled	1a0	2013	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloX3_4Aug09\LB_pwrsel00\chiarloX3.1.290v_ramp.txt	12/23/2009	16:01:21	No comments(this is a filler only).
5	Harmonics (2nd VSA)	L:\Lab & Testing\ATR_Chiarlo\register_maps\A5\Chiarlo_A5_v001_default.map	GSM	SSSZ1001	L3F	LBIn	-28.56	0	0	-4.68	902	3.5	3	0	0	1	0	0	0	1	0	-35.157001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Disabled	1a0	2013	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloX3_4Aug09\LB_pwrsel00\chiarloX3.1.290v_ramp.txt	12/23/2009	16:01:25	No comments(this is a filler only).
5	Harmonics (2nd VSA)	L:\Lab & Testing\ATR_Chiarlo\register_maps\A5\Chiarlo_A5_v001_default.map	GSM	SSSZ1001	L3F	LBIn	-28.65	0	0	-4.67	915	3.5	3	0	0	1	0	0	0	1	0	-34.554001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Disabled	1a0	2013	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloX3_4Aug09\LB_pwrsel00\chiarloX3.1.290v_ramp.txt	12/23/2009	16:01:29	No comments(this is a filler only).
//T#	TestName	Reg Map	Actual PA Operation Mode	Ext Ctrl Bits	Sw Matrix	Attenuation Switch	S21(dB)	Source Tuner Loss(dB)	Tuner Loss(dB)	S21In(dB)	Test Freq(MHz)	Vbat(Volt)	Pwr In(dBm)	Source Magnitude	Source Phase(degree)	Source VSWR	Source Ref Coef	Magnitude	Phase(degree)	VSWR	Ref Coef	3rd Harmonics Amplitude(dBm)	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	Register Check	Reg 0	Alert Reg	Temperature(degree C)	Vramp File	Date	Time	Comment
6	Harmonics (3rd VSA)	L:\Lab & Testing\ATR_Chiarlo\register_maps\A5\Chiarlo_A5_v001_default.map	GSM	SSSZ1001	L3F	LBIn	-28.98	0	0	-4.62	824	3.5	3	0	0	1	0	0	0	1	0	-36.208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Disabled	1a0	13	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloX3_4Aug09\LB_pwrsel00\chiarloX3.1.290v_ramp.txt	12/23/2009	16:01:36	No comments(this is a filler only).
6	Harmonics (3rd VSA)	L:\Lab & Testing\ATR_Chiarlo\register_maps\A5\Chiarlo_A5_v001_default.map	GSM	SSSZ1001	L3F	LBIn	-29.1	0	0	-4.64	850	3.5	3	0	0	1	0	0	0	1	0	-39.390999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Disabled	1a0	2013	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloX3_4Aug09\LB_pwrsel00\chiarloX3.1.290v_ramp.txt	12/23/2009	16:01:40	No comments(this is a filler only).
6	Harmonics (3rd VSA)	L:\Lab & Testing\ATR_Chiarlo\register_maps\A5\Chiarlo_A5_v001_default.map	GSM	SSSZ1001	L3F	LBIn	-29.08	0	0	-4.67	876	3.5	3	0	0	1	0	0	0	1	0	-43.714001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Disabled	1a0	2013	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloX3_4Aug09\LB_pwrsel00\chiarloX3.1.290v_ramp.txt	12/23/2009	16:01:44	No comments(this is a filler only).
6	Harmonics (3rd VSA)	L:\Lab & Testing\ATR_Chiarlo\register_maps\A5\Chiarlo_A5_v001_default.map	GSM	SSSZ1001	L3F	LBIn	-29.16	0	0	-4.68	902	3.5	3	0	0	1	0	0	0	1	0	-45.523998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Disabled	1a0	2013	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloX3_4Aug09\LB_pwrsel00\chiarloX3.1.290v_ramp.txt	12/23/2009	16:01:48	No comments(this is a filler only).
6	Harmonics (3rd VSA)	L:\Lab & Testing\ATR_Chiarlo\register_maps\A5\Chiarlo_A5_v001_default.map	GSM	SSSZ1001	L3F	LBIn	-29.08	0	0	-4.67	915	3.5	3	0	0	1	0	0	0	1	0	-45.640999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Disabled	1a0	2013	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloX3_4Aug09\LB_pwrsel00\chiarloX3.1.290v_ramp.txt	12/23/2009	16:01:52	No comments(this is a filler only).
//T#	TestName	Reg Map	Actual PA Operation Mode	Ext Ctrl Bits	Sw Matrix	Attenuation Switch	S21(dB)	Source Tuner Loss(dB)	Tuner Loss(dB)	S21In(dB)	Test Freq(MHz)	Vbat(Volt)	Pwr In(dBm)	Source Magnitude	Source Phase(degree)	Source VSWR	Source Ref Coef	Magnitude	Phase(degree)	VSWR	Ref Coef	Efficiency(%)	PAE(%)	Adj Pwr Out(dBm)	Pwr Out(dBm)	Vbat_I(Amp)	Vbat_V(Volt)	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	Register Check	Reg 0	Alert Reg	Temperature(degree C)	Vramp File	Date	Time	Comment
7	Output Power & Efficiency	L:\Lab & Testing\ATR_Chiarlo\register_maps\A5\Chiarlo_A5_v001_default.map	GSM	SSSZ1101	HBLBPWRMTR	LBIn	-29.66	0	0	-5.26	1710	3.5	3	0	0	1	0	0	0	1	0	35.373208	35.351216	29.804216	-0.185784	0.772982	3.496051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Disabled	1a0	13	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloX3_4Aug09\HB_pwrsel00\chiarloX3.1.180v_ramp.txt	12/23/2009	16:02:03	No comments(this is a filler only).
7	Output Power & Efficiency	L:\Lab & Testing\ATR_Chiarlo\register_maps\A5\Chiarlo_A5_v001_default.map	GSM	SSSZ1101	HBLBPWRMTR	LBIn	-29.72	0	0	-5.31	1760	3.5	3	0	0	1	0	0	0	1	0	34.531119	34.508825	29.590346	-0.459654	0.753757	3.496171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Disabled	1a0	13	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloX3_4Aug09\HB_pwrsel00\chiarloX3.1.180v_ramp.txt	12/23/2009	16:02:05	No comments(this is a filler only).
7	Output Power & Efficiency	L:\Lab & Testing\ATR_Chiarlo\register_maps\A5\Chiarlo_A5_v001_default.map	GSM	SSSZ1101	HBLBPWRMTR	LBIn	-29.76	0	0	-5.33	1810	3.5	3	0	0	1	0	0	0	1	0	32.505969	32.483905	29.352829	-0.737171	0.758128	3.496047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Disabled	1a0	13	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloX3_4Aug09\HB_pwrsel00\chiarloX3.1.180v_ramp.txt	12/23/2009	16:02:08	No comments(this is a filler only).
7	Output Power & Efficiency	L:\Lab & Testing\ATR_Chiarlo\register_maps\A5\Chiarlo_A5_v001_default.map	GSM	SSSZ1101	HBLBPWRMTR	LBIn	-29.78	0	0	-5.36	1860	3.5	3	0	0	1	0	0	0	1	0	30.459707	30.43827	29.165587	-0.944413	0.774911	3.496078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Disabled	1a0	13	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloX3_4Aug09\HB_pwrsel00\chiarloX3.1.180v_ramp.txt	12/23/2009	16:02:11	No comments(this is a filler only).
7	Output Power & Efficiency	L:\Lab & Testing\ATR_Chiarlo\register_maps\A5\Chiarlo_A5_v001_default.map	GSM	SSSZ1101	HBLBPWRMTR	LBIn	-29.82	0	0	-5.35	1910	3.5	3	0	0	1	0	0	0	1	0	29.772016	29.7509	29.142087	-1.007913	0.788553	3.495985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Disabled	1a0	13	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloX3_4Aug09\HB_pwrsel00\chiarloX3.1.180v_ramp.txt	12/23/2009	16:02:13	No comments(this is a filler only).
//T#	TestName	Reg Map	Actual PA Operation Mode	Ext Ctrl Bits	Sw Matrix	Attenuation Switch	S21(dB)	Source Tuner Loss(dB)	Tuner Loss(dB)	S21In(dB)	Test Freq(MHz)	Vbat(Volt)	Pwr In(dBm)	Source Magnitude	Source Phase(degree)	Source VSWR	Source Ref Coef	Magnitude	Phase(degree)	VSWR	Ref Coef	2nd Harmonics Amplitude(dBm)	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	Register Check	Reg 0	Alert Reg	Temperature(degree C)	Vramp File	Date	Time	Comment
8	Harmonics (2nd VSA)	L:\Lab & Testing\ATR_Chiarlo\register_maps\A5\Chiarlo_A5_v001_default.map	GSM	SSSZ1101	HBLBPSA	LBIn	-30.79	0	0	-5.26	1710	3.5	3	0	0	1	0	0	0	1	0	-45.902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Disabled	1a0	2013	           	L:\Lab & Testing\ATR_Chiarlo\ramp_files\ramps_chiarloX3_4Aug09\HB_pwrsel00\chiarloX3.1.180v_ramp.txt	12/23/2009	16:02:20	No comments(this is a filler only).
