s11_ANT_phi, s11_ANT_mag, ControlSignals, Freq(MHz), HB_LB, Phase(degree), Pwr In(dBm), Regmap, SN, Serial Number, Sub-band, Temp(C), Test Freq(MHz), TestName, VSWR, Vbat(Volt), Vramp Voltage, logfilename, record_num, SN_fld0, Test Date & Time, chipid, 
333.48, 0.37814, 00010000 (TRX1)   [0:08], 423.46, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 164.0, xxxx, 14oct15_0913, , 
333.55, 0.37609, 00010000 (TRX1)   [0:08], 425.44, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 165.0, xxxx, 14oct15_0913, , 
333.63, 0.37404, 00010000 (TRX1)   [0:08], 427.43, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 166.0, xxxx, 14oct15_0913, , 
333.71, 0.37199, 00010000 (TRX1)   [0:08], 429.41, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 167.0, xxxx, 14oct15_0913, , 
333.79, 0.36994, 00010000 (TRX1)   [0:08], 431.4, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 168.0, xxxx, 14oct15_0913, , 
333.87, 0.36789, 00010000 (TRX1)   [0:08], 433.38, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 169.0, xxxx, 14oct15_0913, , 
333.92, 0.36591, 00010000 (TRX1)   [0:08], 435.36, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 170.0, xxxx, 14oct15_0913, , 
333.96, 0.36401, 00010000 (TRX1)   [0:08], 437.35, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 171.0, xxxx, 14oct15_0913, , 
334.0, 0.36211, 00010000 (TRX1)   [0:08], 439.33, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 172.0, xxxx, 14oct15_0913, , 
334.03, 0.36021, 00010000 (TRX1)   [0:08], 441.32, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 173.0, xxxx, 14oct15_0913, , 
334.07, 0.35832, 00010000 (TRX1)   [0:08], 443.3, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 174.0, xxxx, 14oct15_0913, , 
334.1, 0.35642, 00010000 (TRX1)   [0:08], 445.29, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 175.0, xxxx, 14oct15_0913, , 
334.14, 0.35452, 00010000 (TRX1)   [0:08], 447.27, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 176.0, xxxx, 14oct15_0913, , 
334.17, 0.35262, 00010000 (TRX1)   [0:08], 449.26, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 177.0, xxxx, 14oct15_0913, , 
334.21, 0.35073, 00010000 (TRX1)   [0:08], 451.24, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 178.0, xxxx, 14oct15_0913, , 
334.25, 0.34883, 00010000 (TRX1)   [0:08], 453.22, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 179.0, xxxx, 14oct15_0913, , 
334.28, 0.34693, 00010000 (TRX1)   [0:08], 455.21, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 180.0, xxxx, 14oct15_0913, , 
334.32, 0.34503, 00010000 (TRX1)   [0:08], 457.19, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 181.0, xxxx, 14oct15_0913, , 
334.35, 0.34314, 00010000 (TRX1)   [0:08], 459.18, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 182.0, xxxx, 14oct15_0913, , 
334.39, 0.34124, 00010000 (TRX1)   [0:08], 461.16, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 183.0, xxxx, 14oct15_0913, , 
334.42, 0.33934, 00010000 (TRX1)   [0:08], 463.15, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 184.0, xxxx, 14oct15_0913, , 
334.46, 0.33744, 00010000 (TRX1)   [0:08], 465.13, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 185.0, xxxx, 14oct15_0913, , 
334.49, 0.33555, 00010000 (TRX1)   [0:08], 467.12, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 186.0, xxxx, 14oct15_0913, , 
334.53, 0.33365, 00010000 (TRX1)   [0:08], 469.1, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 187.0, xxxx, 14oct15_0913, , 
334.57, 0.33175, 00010000 (TRX1)   [0:08], 471.08, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 188.0, xxxx, 14oct15_0913, , 
334.6, 0.32985, 00010000 (TRX1)   [0:08], 473.07, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 189.0, xxxx, 14oct15_0913, , 
334.64, 0.32796, 00010000 (TRX1)   [0:08], 475.05, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 190.0, xxxx, 14oct15_0913, , 
334.67, 0.32606, 00010000 (TRX1)   [0:08], 477.04, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 191.0, xxxx, 14oct15_0913, , 
334.66, 0.32429, 00010000 (TRX1)   [0:08], 479.02, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 192.0, xxxx, 14oct15_0913, , 
334.66, 0.32252, 00010000 (TRX1)   [0:08], 481.01, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 193.0, xxxx, 14oct15_0913, , 
334.65, 0.32074, 00010000 (TRX1)   [0:08], 482.99, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 194.0, xxxx, 14oct15_0913, , 
334.64, 0.31897, 00010000 (TRX1)   [0:08], 484.98, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 195.0, xxxx, 14oct15_0913, , 
334.63, 0.3172, 00010000 (TRX1)   [0:08], 486.96, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 196.0, xxxx, 14oct15_0913, , 
334.62, 0.31542, 00010000 (TRX1)   [0:08], 488.94, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 197.0, xxxx, 14oct15_0913, , 
334.62, 0.31365, 00010000 (TRX1)   [0:08], 490.93, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 198.0, xxxx, 14oct15_0913, , 
334.61, 0.31187, 00010000 (TRX1)   [0:08], 492.91, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 199.0, xxxx, 14oct15_0913, , 
334.6, 0.3101, 00010000 (TRX1)   [0:08], 494.9, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 200.0, xxxx, 14oct15_0913, , 
334.59, 0.30833, 00010000 (TRX1)   [0:08], 496.88, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 201.0, xxxx, 14oct15_0913, , 
334.58, 0.30655, 00010000 (TRX1)   [0:08], 498.87, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 202.0, xxxx, 14oct15_0913, , 
334.58, 0.30478, 00010000 (TRX1)   [0:08], 500.85, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 203.0, xxxx, 14oct15_0913, , 
334.57, 0.303, 00010000 (TRX1)   [0:08], 502.83, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 204.0, xxxx, 14oct15_0913, , 
334.56, 0.30123, 00010000 (TRX1)   [0:08], 504.82, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 205.0, xxxx, 14oct15_0913, , 
334.55, 0.29946, 00010000 (TRX1)   [0:08], 506.8, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 206.0, xxxx, 14oct15_0913, , 
334.54, 0.29768, 00010000 (TRX1)   [0:08], 508.79, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 207.0, xxxx, 14oct15_0913, , 
334.54, 0.29591, 00010000 (TRX1)   [0:08], 510.77, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 208.0, xxxx, 14oct15_0913, , 
334.53, 0.29414, 00010000 (TRX1)   [0:08], 512.76, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 209.0, xxxx, 14oct15_0913, , 
334.52, 0.29236, 00010000 (TRX1)   [0:08], 514.74, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 210.0, xxxx, 14oct15_0913, , 
334.51, 0.29059, 00010000 (TRX1)   [0:08], 516.73, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 211.0, xxxx, 14oct15_0913, , 
334.5, 0.28881, 00010000 (TRX1)   [0:08], 518.71, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 212.0, xxxx, 14oct15_0913, , 
334.47, 0.28714, 00010000 (TRX1)   [0:08], 520.69, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 213.0, xxxx, 14oct15_0913, , 
334.41, 0.28551, 00010000 (TRX1)   [0:08], 522.68, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 214.0, xxxx, 14oct15_0913, , 
334.35, 0.28389, 00010000 (TRX1)   [0:08], 524.66, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 215.0, xxxx, 14oct15_0913, , 
334.3, 0.28226, 00010000 (TRX1)   [0:08], 526.65, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 216.0, xxxx, 14oct15_0913, , 
334.24, 0.28064, 00010000 (TRX1)   [0:08], 528.63, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 217.0, xxxx, 14oct15_0913, , 
334.19, 0.27902, 00010000 (TRX1)   [0:08], 530.62, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 218.0, xxxx, 14oct15_0913, , 
334.13, 0.27739, 00010000 (TRX1)   [0:08], 532.6, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 219.0, xxxx, 14oct15_0913, , 
334.08, 0.27577, 00010000 (TRX1)   [0:08], 534.59, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 220.0, xxxx, 14oct15_0913, , 
334.02, 0.27414, 00010000 (TRX1)   [0:08], 536.57, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 221.0, xxxx, 14oct15_0913, , 
333.97, 0.27252, 00010000 (TRX1)   [0:08], 538.55, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 222.0, xxxx, 14oct15_0913, , 
333.91, 0.2709, 00010000 (TRX1)   [0:08], 540.54, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 223.0, xxxx, 14oct15_0913, , 
333.85, 0.26927, 00010000 (TRX1)   [0:08], 542.52, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 224.0, xxxx, 14oct15_0913, , 
333.8, 0.26765, 00010000 (TRX1)   [0:08], 544.51, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 225.0, xxxx, 14oct15_0913, , 
333.74, 0.26602, 00010000 (TRX1)   [0:08], 546.49, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 226.0, xxxx, 14oct15_0913, , 
333.69, 0.2644, 00010000 (TRX1)   [0:08], 548.48, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 227.0, xxxx, 14oct15_0913, , 
333.63, 0.26277, 00010000 (TRX1)   [0:08], 550.46, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 228.0, xxxx, 14oct15_0913, , 
333.58, 0.26115, 00010000 (TRX1)   [0:08], 552.45, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 229.0, xxxx, 14oct15_0913, , 
333.52, 0.25953, 00010000 (TRX1)   [0:08], 554.43, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 230.0, xxxx, 14oct15_0913, , 
333.47, 0.2579, 00010000 (TRX1)   [0:08], 556.41, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 231.0, xxxx, 14oct15_0913, , 
333.41, 0.25628, 00010000 (TRX1)   [0:08], 558.4, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 232.0, xxxx, 14oct15_0913, , 
333.35, 0.25465, 00010000 (TRX1)   [0:08], 560.38, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 233.0, xxxx, 14oct15_0913, , 
333.29, 0.25306, 00010000 (TRX1)   [0:08], 562.37, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 234.0, xxxx, 14oct15_0913, , 
333.18, 0.25154, 00010000 (TRX1)   [0:08], 564.35, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 235.0, xxxx, 14oct15_0913, , 
333.07, 0.25002, 00010000 (TRX1)   [0:08], 566.34, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 236.0, xxxx, 14oct15_0913, , 
332.97, 0.24851, 00010000 (TRX1)   [0:08], 568.32, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 237.0, xxxx, 14oct15_0913, , 
332.86, 0.24699, 00010000 (TRX1)   [0:08], 570.3, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 238.0, xxxx, 14oct15_0913, , 
332.76, 0.24547, 00010000 (TRX1)   [0:08], 572.29, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 239.0, xxxx, 14oct15_0913, , 
332.65, 0.24396, 00010000 (TRX1)   [0:08], 574.27, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 240.0, xxxx, 14oct15_0913, , 
332.55, 0.24244, 00010000 (TRX1)   [0:08], 576.26, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 241.0, xxxx, 14oct15_0913, , 
332.44, 0.24093, 00010000 (TRX1)   [0:08], 578.24, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 242.0, xxxx, 14oct15_0913, , 
332.33, 0.23941, 00010000 (TRX1)   [0:08], 580.23, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 243.0, xxxx, 14oct15_0913, , 
332.23, 0.23789, 00010000 (TRX1)   [0:08], 582.21, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 244.0, xxxx, 14oct15_0913, , 
332.12, 0.23638, 00010000 (TRX1)   [0:08], 584.2, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 245.0, xxxx, 14oct15_0913, , 
332.02, 0.23486, 00010000 (TRX1)   [0:08], 586.18, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 246.0, xxxx, 14oct15_0913, , 
331.91, 0.23334, 00010000 (TRX1)   [0:08], 588.16, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 247.0, xxxx, 14oct15_0913, , 
331.81, 0.23183, 00010000 (TRX1)   [0:08], 590.15, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 248.0, xxxx, 14oct15_0913, , 
331.7, 0.23031, 00010000 (TRX1)   [0:08], 592.13, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 249.0, xxxx, 14oct15_0913, , 
331.59, 0.22879, 00010000 (TRX1)   [0:08], 594.12, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 250.0, xxxx, 14oct15_0913, , 
331.49, 0.22728, 00010000 (TRX1)   [0:08], 596.1, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 251.0, xxxx, 14oct15_0913, , 
331.38, 0.22576, 00010000 (TRX1)   [0:08], 598.09, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 252.0, xxxx, 14oct15_0913, , 
331.28, 0.22425, 00010000 (TRX1)   [0:08], 600.07, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 253.0, xxxx, 14oct15_0913, , 
331.17, 0.22273, 00010000 (TRX1)   [0:08], 602.06, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 254.0, xxxx, 14oct15_0913, , 
331.06, 0.22121, 00010000 (TRX1)   [0:08], 604.04, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 255.0, xxxx, 14oct15_0913, , 
330.89, 0.21984, 00010000 (TRX1)   [0:08], 606.02, LB, 0.0, -100.0, , xxxx, xxxx, , 25.0, 2550.0, Measure Sparams SNP, 1.0, 3.5, 0.04, xxxx_14oct15_0913.log, 256.0, xxxx, 14oct15_0913, , 
